Comp,Cond,Metric,Peak,Lat,Mean,Subject
LPP,Nat,PeakAmp,1.202493,756,-0.2606802,sub-NSNP801
LPP,Urb,PeakAmp,2.18727,416,-0.06324358,sub-NSNP801
LPP,Nat,PeakAmp,1.674623,660,0.1568335,sub-NSNP815
LPP,Urb,PeakAmp,2.585482,684,0.1536168,sub-NSNP815
LPP,Nat,PeakAmp,1.719357,688,-0.04027432,sub-NSNP816
LPP,Urb,PeakAmp,1.836963,884,-0.1723448,sub-NSNP816
LPP,Nat,PeakAmp,1.204691,868,-0.2546676,sub-NSNP907
LPP,Urb,PeakAmp,1.146321,720,-0.3155788,sub-NSNP907
LPP,Nat,PeakAmp,1.05122,640,-0.1430675,sub-NSNP813
LPP,Urb,PeakAmp,1.836129,692,0.1183246,sub-NSNP813
LPP,Nat,PeakAmp,5.311584,556,0.940819,sub-NSNP906
LPP,Urb,PeakAmp,4.873127,516,1.02123,sub-NSNP906
LPP,Nat,PeakAmp,2.044981,412,-0.05967252,sub-NSNP812
LPP,Urb,PeakAmp,1.673381,424,-0.2457698,sub-NSNP812
LPP,Nat,PeakAmp,2.454677,460,0.294349,sub-NSNP905
LPP,Urb,PeakAmp,1.408448,432,0.2008192,sub-NSNP905
LPP,Nat,PeakAmp,1.422975,716,0.195542,sub-NSNP809
LPP,Urb,PeakAmp,2.796432,400,0.1268044,sub-NSNP809
LPP,Nat,PeakAmp,1.477277,704,-0.1175796,sub-NSNP808
LPP,Urb,PeakAmp,1.850241,544,-0.009959749,sub-NSNP808
LPP,Nat,PeakAmp,1.965,588,0.04325942,sub-NSNP807
LPP,Urb,PeakAmp,1.829587,516,-0.01059361,sub-NSNP807
LPP,Nat,PeakAmp,0.9458316,828,-0.1393704,sub-NSNP806
LPP,Urb,PeakAmp,1.295808,408,0.1271266,sub-NSNP806
LPP,Nat,PeakAmp,1.889098,740,0.1674772,sub-NSNP810
LPP,Urb,PeakAmp,1.526894,492,0.250942,sub-NSNP810
LPP,Nat,PeakAmp,1.774995,696,0.1205263,sub-NSNP805
LPP,Urb,PeakAmp,1.976269,552,0.147561,sub-NSNP805
LPP,Nat,PeakAmp,2.135347,820,-0.1794393,sub-NSNP804
LPP,Urb,PeakAmp,2.731645,656,-0.05152481,sub-NSNP804
LPP,Nat,PeakAmp,1.861982,656,-0.2653514,sub-NSNP803
LPP,Urb,PeakAmp,1.7044,636,-0.2033429,sub-NSNP803
LPP,Nat,PeakAmp,2.824329,420,0.3592674,sub-NSNP908
LPP,Urb,PeakAmp,3.426117,416,0.2171033,sub-NSNP908
LPP,Nat,PeakAmp,1.137444,636,0.09044998,sub-NSNP904
LPP,Urb,PeakAmp,1.030476,896,0.1240237,sub-NSNP904
LPP,Nat,PeakAmp,2.106715,676,0.4098756,sub-NSNP802
LPP,Urb,PeakAmp,1.5013,424,-0.0185682,sub-NSNP802
LPP,Nat,PeakAmp,1.523665,688,0.1357466,sub-SR004
LPP,Urb,PeakAmp,1.342239,872,0.1821063,sub-SR004
LPP,Nat,PeakAmp,0.9322733,616,0.1016297,sub-SR006
LPP,Urb,PeakAmp,0.7249837,512,0.08924795,sub-SR006
LPP,Nat,PeakAmp,2.567266,892,-0.1104571,sub-SR007
LPP,Urb,PeakAmp,2.22835,408,0.09259117,sub-SR007
LPP,Nat,PeakAmp,2.016316,888,0.106588,sub-SR002
LPP,Urb,PeakAmp,1.867321,708,-0.03375766,sub-SR002
LPP,Nat,PeakAmp,3.503349,612,-0.04050831,sub-SR001
LPP,Urb,PeakAmp,1.167349,740,-0.2935536,sub-SR001
LPP,Nat,PeakAmp,2.308756,576,0.1699809,sub-SR008
LPP,Urb,PeakAmp,2.391518,556,0.1731037,sub-SR008
LPP,Nat,PeakAmp,0.9622751,736,0.06212689,sub-SR009
LPP,Urb,PeakAmp,0.9319745,576,0.02660838,sub-SR009
LPP,Nat,PeakAmp,1.599429,412,0.1395966,sub-SR011
LPP,Urb,PeakAmp,1.606949,604,0.2145434,sub-SR011
LPP,Nat,PeakAmp,1.75319,444,0.1848809,sub-SR013
LPP,Urb,PeakAmp,1.029746,540,-0.09758127,sub-SR013
LPP,Nat,PeakAmp,0.6858185,752,-0.003573786,sub-SR015
LPP,Urb,PeakAmp,0.8461791,644,0.1754955,sub-SR015
